id,content,url,title,objectkey
11,"<DIV class=""modal-dialog""><DIV class=""modal-content border border-secondary rounded""><DIV class=""modal-header""><H5 class=""modal-title"" id=""exampleModalLabel"">Development Database</H5><BUTTON aria-label=""Close"" class=""btn-close"" data-bs-dismiss=""modal"" type=""button""/></DIV><DIV class=""modal-body""><P>In this module, we will take a look at the Development Database, including its purpose and how to use it whilst building and developing your workflow. We will also explore some general information about databases and how to map to a production database.</P><P> </P><P><STRONG>Module Objectives:</STRONG></P><UL><LI>Describe the functionality and purpose of the Development Database.</LI><LI>Configure and map to the Development Database in Design Studio</LI><LI>Reconfigure a database mapping in Design Studio.</LI><LI>List configuration steps in Management Studio to configure a database.</LI></UL><P><STRONG>Module Prerequisites:</STRONG></P><UL><LI>An understanding of Design Studio.</LI><LI>Be able to navigate Management Console.</LI><LI>To complete exercises have access to Kofax RPA</LI></UL><P><STRONG>Lessons:</STRONG></P><UL><LI><STRONG>Overview - The Development Database<BR/></STRONG>In this lesson, you will learn what a Development Database is, including its purpose, its benefits and limitations.</LI><LI><STRONG>Configure the Database<BR/></STRONG>In this lesson, you will learn how to map to the Development Database and create a table in which to store data.</LI><LI><STRONG>Map to a Microsoft SQL Database<BR/></STRONG>In this lesson, you will learn how to re-map your workflow to a production database.</LI></UL><P/><P><STRONG>Product Version(s):</STRONG><SPAN> 11.0</SPAN></P></DIV><DIV class=""modal-footer""><BUTTON class=""btn btn-secondary"" data-bs-dismiss=""modal"" type=""button"">Close</BUTTON></DIV></DIV></DIV>",,Development Database,a74fe5107a234e1c222664416c82a335554562c
12,"<DIV class=""modal-dialog""><DIV class=""modal-content border border-secondary rounded""><DIV class=""modal-header""><H5 class=""modal-title"" id=""exampleModalLabel"">Working with Excel</H5><BUTTON aria-label=""Close"" class=""btn-close"" data-bs-dismiss=""modal"" type=""button""/></DIV><DIV class=""modal-body""><P><STRONG>Module Overview:</STRONG></P><P>In this module, you will learn how to move data from an Excel file and store it in the Development Database. </P><P> </P><P><STRONG>Module Objectives:</STRONG></P><UL><LI>Build a workflow to extract data from an Excel spreadsheet.</LI><LI>Configure the Development Database to store information from a variable.</LI><LI>Understand looping in Excel</LI></UL><P><STRONG>Module Prerequisites:</STRONG></P><UL><LI>An understanding of Design Studio.</LI><LI>Completed Kofax RPA  Learning Path - Web Automation Robot Basic Workflow</LI><LI>Have access to Kofax RPA</LI></UL><P><STRONG>Lessons:</STRONG></P><UL><LI><STRONG>Working with Excel - Overview<BR/></STRONG>In this lesson, we will focus on how to move data from an Excel Spreadsheet to a Database.</LI><LI><STRONG>Your Turn<BR/></STRONG>In this lesson, you will build a workflow to extract data from Excel and store it in the Development Database.</LI></UL><P/><P><STRONG>Product Version(s):</STRONG><SPAN> 11.0</SPAN></P></DIV><DIV class=""modal-footer""><BUTTON class=""btn btn-secondary"" data-bs-dismiss=""modal"" type=""button"">Close</BUTTON></DIV></DIV></DIV>",,Working with Excel,58b2dbc13518a3d52a7444630dddc3f32a0d74a
13,"<DIV class=""modal-dialog""><DIV class=""modal-content border border-secondary rounded""><DIV class=""modal-header""><H5 class=""modal-title"" id=""exampleModalLabel"">Working with Web Services</H5><BUTTON aria-label=""Close"" class=""btn-close"" data-bs-dismiss=""modal"" type=""button""/></DIV><DIV class=""modal-body""><P><STRONG>Module Overview:</STRONG></P><P>This module is an introduction to using web services in a robot workflow. After introducing some general concepts, several exercises are provided that guide you step by step in using REST-based web services.</P><P><STRONG>Module Objectives:</STRONG></P><P>After completing this module you should be able to</P><UL><LI>Understand which options are provided in Kofax RPA to connect to web services,</LI><LI>Understand the differences and commonalities of connecting to SOAP and REST-based web services,</LI><LI>Identify some of the Web services provided by RPA itself to run and queue robots,</LI><LI>Create robots that call REST web services.</LI></UL><P><STRONG>Module Prerequisites:</STRONG></P><P>To call the Google Translate Cloud service in this module&apos;s final lesson, you need to have a Google API key.</P></DIV><DIV class=""modal-footer""><BUTTON class=""btn btn-secondary"" data-bs-dismiss=""modal"" type=""button"">Close</BUTTON></DIV></DIV></DIV>",,Working with Web Services,1e17b9b01e94f6325d545ab869afb2546b83fa74
14,"<DIV class=""modal-dialog""><DIV class=""modal-content border border-secondary rounded""><DIV class=""modal-header""><H5 class=""modal-title"" id=""exampleModalLabel"">Kofax RPA Web Services</H5><BUTTON aria-label=""Close"" class=""btn-close"" data-bs-dismiss=""modal"" type=""button""/></DIV><DIV class=""modal-body""><P><STRONG>Module Overview:</STRONG></P><P>The RPA system also provides web services of its own that can be used for example to run or queue a robot. In this module, you will create robots that will use this functionality to start other robots, a scenario that could be the basis for a divide-and-conquer approach in more complex solutions.</P><P> </P><P><STRONG>Module Objectives:</STRONG></P><P>After completing this module you should be able to</P><UL><LI>Identify some of the Web services provided by RPA itself to run and queue robots</LI><LI>Create robots that call another robot using a Call REST Web Service step</LI><LI>Create robots queue other robots using the Kofax RPA tasks API</LI></UL><P><STRONG>Module Prerequisites:</STRONG></P><P>You will need access to the Management Console with enough privileges to run robots.</P><P> </P></DIV><DIV class=""modal-footer""><BUTTON class=""btn btn-secondary"" data-bs-dismiss=""modal"" type=""button"">Close</BUTTON></DIV></DIV></DIV>",,Kofax RPA Web Services,d76129e8ae11e5817e2b2e478877a4ca6dc76514
15,"<DIV class=""modal-dialog""><DIV class=""modal-content border border-secondary rounded""><DIV class=""modal-header""><H5 class=""modal-title"" id=""exampleModalLabel"">Using SOAP Web Services</H5><BUTTON aria-label=""Close"" class=""btn-close"" data-bs-dismiss=""modal"" type=""button""/></DIV><DIV class=""modal-body""><P><STRONG>Module Overview:</STRONG></P><P>This module concentrates on using SOAP-based web services,  a slightly older alternative to REST-based services that is still widely used, especially in enterprise applications. We take communication between Kofax RPA and Kofax Communication Manager as an example.</P><P> </P><P><STRONG>Module Objectives:</STRONG></P><P>After completing this module you should be able to</P><UL><LI>Understand which options are provided in Kofax RPA to connect to SOAP-based web services</LI><LI>Create robots that call SOAP web services, and in particular to</LI><LI>Understand how to communicate with the Kofax Communications Manager to produce documents.</LI></UL><P><STRONG>Module Prerequisites:</STRONG></P><P>You need to have access to an instance of Kofax Communications Manager but if you don&apos;t, you can skip the practical parts of the exercises. You are encouraged to read through the material and watch the demonstration videos to get a feel for the work involved.</P><P> </P></DIV><DIV class=""modal-footer""><BUTTON class=""btn btn-secondary"" data-bs-dismiss=""modal"" type=""button"">Close</BUTTON></DIV></DIV></DIV>",,Using SOAP Web Services,2446a35b50112d385eb8ba208c4cd1fa13a2413
16,"<DIV class=""modal-dialog""><DIV class=""modal-content border border-secondary rounded""><DIV class=""modal-header""><H5 class=""modal-title"" id=""exampleModalLabel"">AI Web Services with the Cloud AI step</H5><BUTTON aria-label=""Close"" class=""btn-close"" data-bs-dismiss=""modal"" type=""button""/></DIV><DIV class=""modal-body""><P><STRONG>Module Overview:</STRONG></P><P>This module introduces the Cloud AI step that is available in version 11.2. The Cloud AI step provides a low code alternative to using AI web services provided by major vendors.</P><P><STRONG>Module Objectives:</STRONG></P><P>After completing this module you should be able to</P><UL><LI>Create robots in version 11.2 of RPA that use the new Cloud AI step</LI><LI>Use the Cloud AI step to translate text using the Google Cloud Translate API</LI><LI>Use the Cloud AI step to identify objects in images using the Google Cloud Vision API</LI></UL><P><STRONG>Module Prerequisites:</STRONG></P><P>To call the Google Translate Cloud service you need to have a Google API key.</P></DIV><DIV class=""modal-footer""><BUTTON class=""btn btn-secondary"" data-bs-dismiss=""modal"" type=""button"">Close</BUTTON></DIV></DIV></DIV>",,AI Web Services with the Cloud AI step,c9ba88bd57c4f81630d6ab2019c54f4f465fc7
17,"<DIV class=""modal-dialog""><DIV class=""modal-content border border-secondary rounded""><DIV class=""modal-header""><H5 class=""modal-title"" id=""exampleModalLabel"">Email Triggers</H5><BUTTON aria-label=""Close"" class=""btn-close"" data-bs-dismiss=""modal"" type=""button""/></DIV><DIV class=""modal-body""><P><STRONG>Module Overview:</STRONG></P><P>You can set up your robots to start upon receiving emails from a certain email account. You can extract attachments, header information, and email content, or use emails, simply as a trigger to start robots. In this module, you will learn how to trigger robots by email.</P><P><STRONG>Module Objectives:</STRONG></P><UL><LI>Describe email triggers</LI><LI>Setup email triggers</LI><LI>Build a robot that processes email</LI></UL><P><STRONG>Module Prerequisites:</STRONG></P><UL><LI>None</LI></UL></DIV><DIV class=""modal-footer""><BUTTON class=""btn btn-secondary"" data-bs-dismiss=""modal"" type=""button"">Close</BUTTON></DIV></DIV></DIV>",,Email Triggers,89c55566e9df75c1b656fbb3c11f196121265653
18,"<DIV class=""modal-dialog""><DIV class=""modal-content border border-secondary rounded""><DIV class=""modal-header""><H5 class=""modal-title"" id=""exampleModalLabel"">Kapplets</H5><BUTTON aria-label=""Close"" class=""btn-close"" data-bs-dismiss=""modal"" type=""button""/></DIV><DIV class=""modal-body""><P>This module introduces the general concepts related to the Kapplets application and provides step-by-step exercises for several common tasks that involve the administration of Kapplets and a section on the installation of the Kapplets application on a Tomcat server.</P><P>The target audience is administrators who want to manage access to Kapplets. Note that the general concepts might be of interest to robot developers as well, but no separate module is provided on building robots that are used in Kapplets for the simple reason that <U>any </U>robot can be used in a Kapplet as well.</P></DIV><DIV class=""modal-footer""><BUTTON class=""btn btn-secondary"" data-bs-dismiss=""modal"" type=""button"">Close</BUTTON></DIV></DIV></DIV>",,Kapplets,944e8d1a60ada9a9bc83da9a4cdf402d38430
19,"<DIV class=""modal-dialog""><DIV class=""modal-content border border-secondary rounded""><DIV class=""modal-header""><H5 class=""modal-title"" id=""exampleModalLabel"">The Password Store</H5><BUTTON aria-label=""Close"" class=""btn-close"" data-bs-dismiss=""modal"" type=""button""/></DIV><DIV class=""modal-body""><P><STRONG>Module Overview:</STRONG></P><P>This module introduces the general concepts related to the Password Store and provides step-by-step exercises for several common tasks that involve the administration of password entries and retrieving passwords inside a robot workflow. The target audience is administrators who want to manage the Password Store and robot developers who want to use passwords from the password store in a robot workflow.</P><P><STRONG>Module Objectives:</STRONG></P><P>After completing this module you should be able to</P><UL><LI>Describe the Password Store</LI><LI>Perform common tasks regarding the Password Store</LI></UL><P><STRONG>Module Prerequisites:</STRONG></P><P>None</P></DIV><DIV class=""modal-footer""><BUTTON class=""btn btn-secondary"" data-bs-dismiss=""modal"" type=""button"">Close</BUTTON></DIV></DIV></DIV>",,The Password Store,9519a8d061996fca97db37282a14fe3eb699d
20,"<DIV class=""modal-dialog""><DIV class=""modal-content border border-secondary rounded""><DIV class=""modal-header""><H5 class=""modal-title"" id=""exampleModalLabel"">Introduction</H5><BUTTON aria-label=""Close"" class=""btn-close"" data-bs-dismiss=""modal"" type=""button""/></DIV><DIV class=""modal-body""><P>In Kofax RPA you can create Desktop Automation robots that can automate work processes involving Windows and Java applications on your networked computers. Because desktop Automation is different from web automation, Design Studio has a dedicated workflow language and steps for this purpose. In this module, we will explore the differences in functionality between the Desktop Automation workflow and the Web Automation workflow. We will introduce you to the procedure for editing a Desktop Automation workflow and build a simple Desktop Automation robot. </P><P/><UL><LI><SPAN><STRONG>Introduction to Desktop Automation Workflow</STRONG><BR/>In this lesson, you will learn what Desktop Automation is and how it can be used for a robot.</SPAN></LI><LI><STRONG><SPAN>Overview of editing a Desktop Automation workflow</SPAN></STRONG><SPAN><BR/></SPAN><SPAN>In this lesson, you will review the capabilities of the Desktop Automation workflow editor and review some relevant components</SPAN></LI><LI><STRONG><SPAN>Build a Simple Desktop Automation Workflow </SPAN></STRONG><BR/><SPAN>In this lesson, you will create a simple Desktop Automated workflow which is controlled by a Web Automated robot.</SPAN></LI></UL><P><SPAN><STRONG>Prerequisites</STRONG></SPAN></P><P><SPAN>This module assumes that you are familiar with Web Automated robot concepts and you have completed the Kofax RPA Getting Started Learning path.</SPAN></P><P><SPAN/></P><P><SPAN><STRONG>Product Version(s):</STRONG> 11.0</SPAN></P></DIV><DIV class=""modal-footer""><BUTTON class=""btn btn-secondary"" data-bs-dismiss=""modal"" type=""button"">Close</BUTTON></DIV></DIV></DIV>",,Introduction,90951f911f3cbf51786916032b01c67ca27ed
